departamento,provincia,avance_pct
AMAZONAS,BAGUA,94.4
AMAZONAS,BONGARÁ,100.0
AMAZONAS,CHACHAPOYAS,90.588
AMAZONAS,CONDORCANQUI,92.529
AMAZONAS,LUYA,96.226
AMAZONAS,RODRÍGUEZ DE MENDOZA,98.039
AMAZONAS,UTCUBAMBA,88.201
ANCASH,AIJA,100.0
ANCASH,ANTONIO RAIMONDI,84.783
ANCASH,ASUNCIÓN,78.261
ANCASH,BOLOGNESI,98.824
ANCASH,CARHUAZ,95.302
ANCASH,CARLOS FERMÍN FITZCARRALD,87.719
ANCASH,CASMA,65.734
ANCASH,CORONGO,96.296
ANCASH,HUARAZ,92.763
ANCASH,HUARI,89.394
ANCASH,HUARMEY,84.043
ANCASH,HUAYLAS,96.45
ANCASH,MARISCAL LUZURIAGA,97.183
ANCASH,OCROS,33.333
ANCASH,PALLASCA,90.789
ANCASH,POMABAMBA,91.139
ANCASH,RECUAY,100.0
ANCASH,SANTA,92.379
ANCASH,SIHUAS,91.011
ANCASH,YUNGAY,96.45
APURIMAC,ABANCAY,98.722
APURIMAC,ANDAHUAYLAS,94.714
APURIMAC,ANTABAMBA,97.674
APURIMAC,AYMARAES,98.02
APURIMAC,CHINCHEROS,95.484
APURIMAC,COTABAMBAS,97.024
APURIMAC,GRAU,93.976
AREQUIPA,AREQUIPA,97.926
AREQUIPA,CAMANÁ,96.154
AREQUIPA,CARAVELÍ,100.0
AREQUIPA,CASTILLA,99.057
AREQUIPA,CAYLLOMA,96.656
AREQUIPA,CONDESUYOS,92.727
AREQUIPA,ISLAY,93.82
AREQUIPA,LA UNIÓN,100.0
AYACUCHO,CANGALLO,96.429
AYACUCHO,HUAMANGA,94.917
AYACUCHO,HUANCA SANCOS,100.0
AYACUCHO,HUANTA,95.018
AYACUCHO,LA MAR,93.86
AYACUCHO,LUCANAS,95.57
AYACUCHO,PARINACOCHAS,93.506
AYACUCHO,PÁUCAR DEL SARA SARA,97.059
AYACUCHO,SUCRE,91.892
AYACUCHO,VÍCTOR FAJARDO,100.0
AYACUCHO,VILCAS HUAMÁN,94.444
CAJAMARCA,CAJABAMBA,97.273
CAJAMARCA,CAJAMARCA,94.711
CAJAMARCA,CELENDÍN,90.0
CAJAMARCA,CHOTA,95.914
CAJAMARCA,CONTUMAZA,95.122
CAJAMARCA,CUTERVO,96.85
CAJAMARCA,HUALGAYOC,94.697
CAJAMARCA,JAÉN,92.916
CAJAMARCA,SAN IGNACIO,92.892
CAJAMARCA,SAN MARCOS,91.358
CAJAMARCA,SAN MIGUEL,95.625
CAJAMARCA,SAN PABLO,100.0
CAJAMARCA,SANTA CRUZ,91.27
CALLAO,CALLAO,95.066
CUSCO,ACOMAYO,93.75
CUSCO,ANTA,94.33
CUSCO,CALCA,99.061
CUSCO,CANAS,98.305
CUSCO,CANCHIS,97.931
CUSCO,CHUMBIVILCAS,99.576
CUSCO,CUSCO,96.902
CUSCO,ESPINAR,97.235
CUSCO,LA CONVENCIÓN,60.759
CUSCO,PARURO,97.143
CUSCO,PAUCARTAMBO,94.406
CUSCO,QUISPICANCHI,95.307
CUSCO,URUBAMBA,96.347
HUANCAVELICA,ACOBAMBA,93.706
HUANCAVELICA,ANGARAES,94.41
HUANCAVELICA,CASTROVIRREYNA,97.101
HUANCAVELICA,CHURCAMPA,91.736
HUANCAVELICA,HUANCAVELICA,95.052
HUANCAVELICA,HUAYTARA,96.429
HUANCAVELICA,TAYACAJA,95.82
HUANUCO,AMBO,89.08
HUANUCO,DOS DE MAYO,91.667
HUANUCO,HUACAYBAMBA,85.455
HUANUCO,HUAMALIES,93.642
HUANUCO,HUÁNUCO,93.124
HUANUCO,LAURICOCHA,81.818
HUANUCO,LEONCIO PRADO,89.717
HUANUCO,MARAÑÓN,91.489
HUANUCO,PACHITEA,89.759
HUANUCO,PUERTO INCA,89.916
HUANUCO,YAROWILCA,86.207
ICA,CHINCHA,91.798
ICA,ICA,91.957
ICA,NASCA,85.321
ICA,PALPA,80.435
ICA,PISCO,88.263
JUNIN,CHANCHAMAYO,94.595
JUNIN,CHUPACA,95.263
JUNIN,CONCEPCIÓN,93.085
JUNIN,HUANCAYO,96.411
JUNIN,JAUJA,97.761
JUNIN,JUNÍN,100.0
JUNIN,SATIPO,90.092
JUNIN,TARMA,98.473
JUNIN,YAULI,98.095
LA LIBERTAD,ASCOPE,93.314
LA LIBERTAD,BOLÍVAR,93.75
LA LIBERTAD,CHEPÉN,92.917
LA LIBERTAD,GRAN CHIMÚ,97.59
LA LIBERTAD,JULCÁN,90.426
LA LIBERTAD,OTUZCO,91.635
LA LIBERTAD,PACASMAYO,90.411
LA LIBERTAD,PATAZ,87.444
LA LIBERTAD,SÁNCHEZ CARRIÓN,96.028
LA LIBERTAD,SANTIAGO DE CHUCO,96.129
LA LIBERTAD,TRUJILLO,90.734
LA LIBERTAD,VIRÚ,84.099
LAMBAYEQUE,CHICLAYO,95.901
LAMBAYEQUE,FERREÑAFE,93.115
LAMBAYEQUE,LAMBAYEQUE,94.295
LIMA,BARRANCA,95.455
LIMA,CAJATAMBO,100.0
LIMA,CANTA,87.234
LIMA,CAÑETE,91.467
LIMA,HUARAL,95.893
LIMA,HUAROCHIRÍ,91.813
LIMA,HUAURA,95.573
LIMA,LIMA,92.866
LIMA,OYÓN,94.118
LIMA,YAUYOS,98.246
LORETO,ALTO AMAZONAS,80.663
LORETO,DATEM DEL MARAÑÓN,53.266
LORETO,LORETO,82.323
LORETO,MARISCAL RAMÓN CASTILLA,81.633
LORETO,MAYNAS,83.396
LORETO,PUTUMAYO,90.0
LORETO,REQUENA,80.105
LORETO,UCAYALI,85.87
MADRE DE DIOS,MANÚ,91.176
MADRE DE DIOS,TAHUAMANÚ,97.297
MADRE DE DIOS,TAMBOPATA,88.308
MOQUEGUA,GENERAL SÁNCHEZ CERRO,91.935
MOQUEGUA,ILO,93.133
MOQUEGUA,MARISCAL NIETO,97.173
PASCO,DANIEL ALCIDES CARRIÓN,97.196
PASCO,OXAPAMPA,91.483
PASCO,PASCO,92.328
PIURA,AYABACA,88.831
PIURA,HUANCABAMBA,91.011
PIURA,MORROPÓN,82.107
PIURA,PAITA,95.143
PIURA,PIURA,90.826
PIURA,SECHURA,93.578
PIURA,SULLANA,93.993
PIURA,TALARA,92.308
PUNO,AZÁNGARO,96.226
PUNO,CARABAYA,94.211
PUNO,CHUCUITO,95.175
PUNO,EL COLLAO,97.895
PUNO,HUANCANÉ,95.631
PUNO,LAMPA,98.551
PUNO,MELGAR,97.525
PUNO,MOHO,94.186
PUNO,PUNO,97.183
PUNO,SAN ANTONIO DE PUTINA,97.701
PUNO,SANDIA,98.246
PUNO,SAN ROMÁN,98.201
PUNO,YUNGUYO,93.694
SAN MARTIN,BELLAVISTA,91.908
SAN MARTIN,EL DORADO,94.017
SAN MARTIN,HUALLAGA,92.308
SAN MARTIN,LAMAS,94.297
SAN MARTIN,MARISCAL CÁCERES,93.011
SAN MARTIN,MOYOBAMBA,94.723
SAN MARTIN,PICOTA,90.152
SAN MARTIN,RIOJA,95.078
SAN MARTIN,SAN MARTÍN,92.857
SAN MARTIN,TOCACHE,94.421
TACNA,CANDARAVE,91.667
TACNA,JORGE BASADRE,90.698
TACNA,TACNA,95.344
TACNA,TARATA,93.103
TUMBES,CONTRALMIRANTE VILLAR,88.525
TUMBES,TUMBES,91.475
TUMBES,ZARUMILLA,89.051
UCAYALI,ATALAYA,83.529
UCAYALI,CORONEL PORTILLO,87.952
UCAYALI,PADRE ABAD,90.0
UCAYALI,PURÚS,91.667
