candidato,partido,votos,votos_estimados,votos_restantes,pct_votos_validos
KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2265194,2846569.0538235437,581375.0538235438,17.259574727685813
,VOTOS EN BLANCO,1720929,2282754.1510308925,561825.1510308926,
ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,1397614,1963042.5712965422,565428.5712965422,11.902497115751139
RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,1693988,1941523.8371000246,247535.83710002463,11.772022781952304
JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,1578957,1821020.0125485163,242063.0125485163,11.04137310316618
RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1347196,1654721.138829517,307525.13882951695,10.033054743831912
CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,1087101,1301241.2716512678,214140.2716512679,7.889803669665755
PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1016671,1214363.5719686928,197692.57196869282,7.363038949931751
,VOTOS NULOS,762529,989707.6841210674,227178.6841210674,
MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",487374,568281.6373265749,80907.63732657487,3.445656578270971
ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,478029,562918.0431776237,84889.04317762358,3.4131355495264
LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,255200,304453.5980944695,49253.59809446951,1.8459905690206582
JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,198164,262372.41271393327,64208.41271393327,1.590840123002359
YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,174841,212174.8999355695,37333.89993556948,1.286478027244172
CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,142731,186884.91974465133,44153.91974465131,1.1331375339297582
PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,128195,158079.00284948328,29884.002849483295,0.9584788954597568
GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,118118,155633.13697590036,37515.13697590035,0.9436489004655031
MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,112226,145417.9757799795,33191.97577997949,0.8817114119722828
HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,113676,143647.28718716637,29971.28718716637,0.8709752128816377
RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,106309,142920.32521423342,36611.32521423342,0.8665674313527938
